timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2024/12/14 22:44:00.092, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:01.093, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:02.098, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:03.102, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:04.102, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:05.103, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:06.105, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:07.106, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:08.107, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:09.108, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:10.112, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:11.112, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:12.113, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:13.115, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:14.116, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:15.120, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:16.121, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:17.122, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:18.123, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:19.123, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:20.124, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:21.125, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:22.137, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:23.144, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:24.144, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:25.144, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:26.145, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:27.145, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:28.149, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:29.150, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:30.153, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:31.153, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:32.157, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:33.157, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:34.158, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:35.158, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:36.160, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:37.161, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:38.161, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:39.162, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:40.169, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:41.170, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:42.170, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:43.173, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:44.174, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:45.174, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:46.177, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:47.179, Tesla V100-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
