timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2024/12/14 22:43:59.031, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:00.032, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:01.032, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:02.033, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:03.033, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:04.034, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:05.035, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:06.036, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:07.036, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:08.038, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:09.039, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:10.040, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:11.041, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:12.042, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:13.042, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:14.044, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:15.044, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:16.044, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:17.046, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:18.046, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:19.047, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:20.047, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:21.048, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:22.048, Tesla V100-SXM2-32GB, 2 %, 0 %, 32768 MiB, 26 MiB
2024/12/14 22:44:23.049, Tesla V100-SXM2-32GB, 37 %, 2 %, 32768 MiB, 4216 MiB
2024/12/14 22:44:24.049, Tesla V100-SXM2-32GB, 33 %, 2 %, 32768 MiB, 8152 MiB
2024/12/14 22:44:25.049, Tesla V100-SXM2-32GB, 27 %, 1 %, 32768 MiB, 11092 MiB
2024/12/14 22:44:26.050, Tesla V100-SXM2-32GB, 11 %, 1 %, 32768 MiB, 12568 MiB
2024/12/14 22:44:27.050, Tesla V100-SXM2-32GB, 5 %, 1 %, 32768 MiB, 12626 MiB
2024/12/14 22:44:28.051, Tesla V100-SXM2-32GB, 95 %, 81 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:29.051, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:30.052, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:31.052, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:32.053, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:33.054, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:34.055, Tesla V100-SXM2-32GB, 96 %, 80 %, 32768 MiB, 12940 MiB
2024/12/14 22:44:35.056, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13110 MiB
2024/12/14 22:44:36.056, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13144 MiB
2024/12/14 22:44:37.057, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13144 MiB
2024/12/14 22:44:38.057, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13144 MiB
2024/12/14 22:44:39.058, Tesla V100-SXM2-32GB, 44 %, 37 %, 32768 MiB, 13144 MiB
2024/12/14 22:44:40.058, Tesla V100-SXM2-32GB, 100 %, 21 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:41.059, Tesla V100-SXM2-32GB, 96 %, 77 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:42.060, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:43.061, Tesla V100-SXM2-32GB, 96 %, 77 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:44.061, Tesla V100-SXM2-32GB, 96 %, 76 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:45.062, Tesla V100-SXM2-32GB, 97 %, 77 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:46.062, Tesla V100-SXM2-32GB, 95 %, 75 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:47.063, Tesla V100-SXM2-32GB, 97 %, 76 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:48.063, Tesla V100-SXM2-32GB, 53 %, 42 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:49.063, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:50.064, Tesla V100-SXM2-32GB, 95 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:51.064, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:52.065, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:53.065, Tesla V100-SXM2-32GB, 97 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:54.066, Tesla V100-SXM2-32GB, 95 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:55.067, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:56.068, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:57.068, Tesla V100-SXM2-32GB, 93 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:58.069, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:44:59.069, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:00.071, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:01.072, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:02.072, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:03.073, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
